PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;3.0.3;Checks whether the root user of your AWS account requires multi-factor authentication for console sign-in.;Multi-Factor Authentication;;;iam;;FAIL;MFA is not enabled for root account.;arn:aws:iam::<SANDBOX_ACCOUNT_ID>:mfa;iam_root_hardware_mfa_enabled;False;<root_account>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;3.0.1;Checks whether the AWS Identity and Access Management users have multi-factor authentication (MFA) enabled.;Multi-Factor Authentication;;;iam;;FAIL;MFA is not enabled for root account.;arn:aws:iam::<SANDBOX_ACCOUNT_ID>:root;iam_root_mfa_enabled;False;<root_account>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;3.0.2;Checks whether AWS Multi-Factor Authentication (MFA) is enabled for all AWS Identity and Access Management (IAM) users that use a console password.;Multi-Factor Authentication;;;iam;;FAIL;MFA is not enabled for root account.;arn:aws:iam::<SANDBOX_ACCOUNT_ID>:root;iam_root_mfa_enabled;False;<root_account>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;3.0.3;Checks whether the root user of your AWS account requires multi-factor authentication for console sign-in.;Multi-Factor Authentication;;;iam;;FAIL;MFA is not enabled for root account.;arn:aws:iam::<SANDBOX_ACCOUNT_ID>:root;iam_root_mfa_enabled;False;<root_account>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;4.1.1;Checks that your S3 buckets do not allow public read access.;Disallow Public Access;;;s3;;FAIL;Block Public Access is not configured for the account <SANDBOX_ACCOUNT_ID>.;arn:aws:s3:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:account;s3_account_level_public_access_blocks;False;<SANDBOX_ACCOUNT_ID>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;5.1.1;Checks whether versioning is enabled for your S3 buckets.;Disallow Instances;;;s3;;FAIL;S3 Bucket range-cloudtrail-<SANDBOX_ACCOUNT_ID> has versioning disabled.;arn:aws:s3:::range-cloudtrail-<SANDBOX_ACCOUNT_ID>;s3_bucket_object_versioning;False;range-cloudtrail-<SANDBOX_ACCOUNT_ID>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;5.1.1;Checks whether versioning is enabled for your S3 buckets.;Disallow Instances;;;s3;;FAIL;S3 Bucket range-customer-data-<SANDBOX_ACCOUNT_ID> has versioning disabled.;arn:aws:s3:::range-customer-data-<SANDBOX_ACCOUNT_ID>;s3_bucket_object_versioning;False;range-customer-data-<SANDBOX_ACCOUNT_ID>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;4.1.2;Checks that your S3 buckets do not allow public write access.;Disallow Public Access;;;s3;;PASS;S3 public access blocked at bucket level for range-cloudtrail-<SANDBOX_ACCOUNT_ID>.;arn:aws:s3:::range-cloudtrail-<SANDBOX_ACCOUNT_ID>;s3_bucket_policy_public_write_access;False;range-cloudtrail-<SANDBOX_ACCOUNT_ID>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;4.1.2;Checks that your S3 buckets do not allow public write access.;Disallow Public Access;;;s3;;PASS;S3 public access blocked at bucket level for range-customer-data-<SANDBOX_ACCOUNT_ID>.;arn:aws:s3:::range-customer-data-<SANDBOX_ACCOUNT_ID>;s3_bucket_policy_public_write_access;False;range-customer-data-<SANDBOX_ACCOUNT_ID>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;4.1.1;Checks that your S3 buckets do not allow public read access.;Disallow Public Access;;;s3;;PASS;S3 Bucket range-cloudtrail-<SANDBOX_ACCOUNT_ID> is not public.;arn:aws:s3:::range-cloudtrail-<SANDBOX_ACCOUNT_ID>;s3_bucket_public_access;False;range-cloudtrail-<SANDBOX_ACCOUNT_ID>;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
