PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;ksi-tpr;A secure cloud service offering will understand, monitor, and manage supply chain risks from third-party information resources;Third-Party Information Resources;;;aws;;PASS;Lambda function range-responder is using python3.12 which is supported.;arn:aws:lambda:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:function:range-responder;awslambda_function_using_supported_runtimes;False;range-responder;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
aws;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;ksi-rpl;A secure cloud service offering will define, maintain, and test incident response plan(s) and recovery capabilities to ensure minimal service disruption and data loss;Recovery Planning;;;aws;;FAIL;No Backup Vault exist.;arn:aws:backup:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:backup-vault;backup_vaults_exist;False;<SANDBOX_ACCOUNT_ID>;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
aws;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;ksi-mla;A secure cloud service offering will monitor, log, and audit all important events, activity, and changes;Monitoring, Logging, and Auditing;;;aws;;FAIL;Multiregion trail lz-org-trail has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_cloudwatch_logging_enabled;False;lz-org-trail;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
aws;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;ksi-mla;A secure cloud service offering will monitor, log, and audit all important events, activity, and changes;Monitoring, Logging, and Auditing;;;aws;;PASS;Multiregion trail range-trail has been logging in the last 24h.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;cloudtrail_cloudwatch_logging_enabled;False;range-trail;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
aws;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;ksi-mla;A secure cloud service offering will monitor, log, and audit all important events, activity, and changes;Monitoring, Logging, and Auditing;;;aws;;FAIL;Single region trail stratus-red-team-ct-stop-trail-arzkiholin has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/stratus-red-team-ct-stop-trail-arzkiholin;cloudtrail_cloudwatch_logging_enabled;False;stratus-red-team-ct-stop-trail-arzkiholin;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
aws;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;ksi-mla;A secure cloud service offering will monitor, log, and audit all important events, activity, and changes;Monitoring, Logging, and Auditing;;;aws;;FAIL;Multiregion trail lz-org-trail has encryption disabled.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_kms_encryption_enabled;False;lz-org-trail;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
aws;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;ksi-svc;A secure cloud service offering will follow FedRAMP encryption policies, continuously verify information resource integrity, and restrict access to third-party information resources;Service Configuration;;;aws;;FAIL;Multiregion trail lz-org-trail has encryption disabled.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_kms_encryption_enabled;False;lz-org-trail;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
aws;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;ksi-mla;A secure cloud service offering will monitor, log, and audit all important events, activity, and changes;Monitoring, Logging, and Auditing;;;aws;;FAIL;Multiregion trail range-trail has encryption disabled.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;cloudtrail_kms_encryption_enabled;False;range-trail;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
aws;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;ksi-svc;A secure cloud service offering will follow FedRAMP encryption policies, continuously verify information resource integrity, and restrict access to third-party information resources;Service Configuration;;;aws;;FAIL;Multiregion trail range-trail has encryption disabled.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;cloudtrail_kms_encryption_enabled;False;range-trail;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
aws;FedRAMP 20x Key Security Indicators (KSIs) Low Impact Level represent core security indicators for cloud service providers, focusing on automation, continuous monitoring, and cloud-native security principles per FedRAMP 20x Phase One pilot requirements for Low impact systems.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;ksi-mla;A secure cloud service offering will monitor, log, and audit all important events, activity, and changes;Monitoring, Logging, and Auditing;;;aws;;FAIL;Single region trail stratus-red-team-ct-stop-trail-arzkiholin has encryption disabled.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/stratus-red-team-ct-stop-trail-arzkiholin;cloudtrail_kms_encryption_enabled;False;stratus-red-team-ct-stop-trail-arzkiholin;FedRAMP-20x-KSI-Low;FedRAMP 20x Key Security Indicators (KSIs) - Low Impact Level v25.05C;
