PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;Enabled security services;Check if security services are enabled;Deploy account from predefined IaC template;;;SecurityServices;Automated;FAIL;IAM Access Analyzer in account <SANDBOX_ACCOUNT_ID> is not enabled.;arn:aws:accessanalyzer:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;Create analyzers in each active regions;Establish analyzers within every active region.;IAM Access Analyzer;;;IAM Access Analyzer;Automated;FAIL;IAM Access Analyzer in account <SANDBOX_ACCOUNT_ID> is not enabled.;arn:aws:accessanalyzer:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;Verify that events are present in SecurityHub aggregated view;Confirm the presence of events within the aggregated view of SecurityHub.;IAM Access Analyzer;;;SecurityHub;Automated;FAIL;IAM Access Analyzer in account <SANDBOX_ACCOUNT_ID> is not enabled.;arn:aws:accessanalyzer:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;Billing, emergency, security contacts;Check if billing, emergency, security contacts are configured;Deploy account from predefined IaC template;;;Billing;Automated;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::<SANDBOX_ACCOUNT_ID>:root;account_maintain_current_contact_details;False;<SANDBOX_ACCOUNT_ID>;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;Billing, emergency, security contacts;Check if billing, emergency, security contacts are configured;Deploy account from predefined IaC template;;;Billing;Automated;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::<SANDBOX_ACCOUNT_ID>:root;account_security_contact_information_is_registered;False;<SANDBOX_ACCOUNT_ID>;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;Send S3 access logs for critical buckets to separate S3 bucket;Send S3 access logs for critical buckets to separate S3 bucket;Logging;;;Logging;Automated;MANUAL;Trail lz-org-trail is delivering logs to bucket lz-org-cloudtrail-logs-<LOG_ARCHIVE_ACCOUNT_ID> which is a cross-account bucket or out of Prowler's audit scope, please check it manually.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_logs_s3_bucket_access_logging_enabled;False;lz-org-trail;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;Confirm that logs are present in S3 bucket and SIEM;Verify the existence of logs within both the S3 bucket and the SIEM system.;AWS Cloudtrail;;;CloudTrail;Automated;MANUAL;Trail lz-org-trail is delivering logs to bucket lz-org-cloudtrail-logs-<LOG_ARCHIVE_ACCOUNT_ID> which is a cross-account bucket or out of Prowler's audit scope, please check it manually.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_logs_s3_bucket_access_logging_enabled;False;lz-org-trail;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;Send S3 access logs for critical buckets to separate S3 bucket;Send S3 access logs for critical buckets to separate S3 bucket;Logging;;;Logging;Automated;FAIL;Multiregion Trail range-trail S3 bucket access logging is not enabled for bucket range-cloudtrail-<SANDBOX_ACCOUNT_ID>.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;cloudtrail_logs_s3_bucket_access_logging_enabled;False;range-trail;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;Confirm that logs are present in S3 bucket and SIEM;Verify the existence of logs within both the S3 bucket and the SIEM system.;AWS Cloudtrail;;;CloudTrail;Automated;FAIL;Multiregion Trail range-trail S3 bucket access logging is not enabled for bucket range-cloudtrail-<SANDBOX_ACCOUNT_ID>.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;cloudtrail_logs_s3_bucket_access_logging_enabled;False;range-trail;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;Send S3 access logs for critical buckets to separate S3 bucket;Send S3 access logs for critical buckets to separate S3 bucket;Logging;;;Logging;Automated;FAIL;Single region Trail stratus-red-team-ct-stop-trail-arzkiholin S3 bucket access logging is not enabled for bucket stratus-red-team-ct-stop-bucket-arzkiholin.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/stratus-red-team-ct-stop-trail-arzkiholin;cloudtrail_logs_s3_bucket_access_logging_enabled;False;stratus-red-team-ct-stop-trail-arzkiholin;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;Confirm that logs are present in S3 bucket and SIEM;Verify the existence of logs within both the S3 bucket and the SIEM system.;AWS Cloudtrail;;;CloudTrail;Automated;FAIL;Single region Trail stratus-red-team-ct-stop-trail-arzkiholin S3 bucket access logging is not enabled for bucket stratus-red-team-ct-stop-bucket-arzkiholin.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/stratus-red-team-ct-stop-trail-arzkiholin;cloudtrail_logs_s3_bucket_access_logging_enabled;False;stratus-red-team-ct-stop-trail-arzkiholin;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;Enable as part of Organization trail;Activate as a component of the Organization trail.;AWS Cloudtrail;;;CloudTrail;Automated;PASS;Trail lz-org-trail is multiregion and it is logging.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_multi_region_enabled;False;lz-org-trail;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;Enable as part of Organization trail;Activate as a component of the Organization trail.;AWS Cloudtrail;;;CloudTrail;Automated;PASS;Trail lz-org-trail from home region ap-southeast-7 is multi-region, is logging and have management events enabled.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;cloudtrail_multi_region_enabled_logging_management_events;False;lz-org-trail;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;Confirm that logs are present in S3 bucket and SIEM;Verify the existence of logs within both the S3 bucket and the SIEM system.;AWS Cloudtrail;;;CloudTrail;Automated;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail;cloudtrail_s3_dataevents_read_enabled;False;<SANDBOX_ACCOUNT_ID>;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;Send S3 access logs for critical buckets to separate S3 bucket;Send S3 access logs for critical buckets to separate S3 bucket;Logging;;;Logging;Automated;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail;cloudtrail_s3_dataevents_write_enabled;False;<SANDBOX_ACCOUNT_ID>;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
