PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_NAME;REQUIREMENTS_ATTRIBUTES_WELLARCHITECTEDQUESTIONID;REQUIREMENTS_ATTRIBUTES_WELLARCHITECTEDPRACTICEID;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_LEVELOFRISK;REQUIREMENTS_ATTRIBUTES_ASSESSMENTMETHOD;REQUIREMENTS_ATTRIBUTES_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_IMPLEMENTATIONGUIDANCEURL;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;Best Practices for AWS Well-Architected Framework Security Pillar. The focus of this framework is the security pillar of the AWS Well-Architected Framework. It provides guidance to help you apply best practices, current recommendations in the design, delivery, and maintenance of secure AWS workloads.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;SEC03-BP03;A process that allows emergency access to your workload in the unlikely event of an automated process or pipeline issue. This will help you rely on least privilege access, but ensure users can obtain the right level of access when they require it. For example, establish a process for administrators to verify and approve their request, such as an emergency AWS cross-account role for access, or a specific process for administrators to follow to validate and approve an emergency request.;SEC03-BP03 Establish emergency access process;permissions;sec_permissions_emergency_process;Identity and access management;Permissions management;High;Automated;A process that allows emergency access to your workload in the unlikely event of an automated process or pipeline issue. This will help you rely on least privilege access, but ensure users can obtain the right level of access when they require it. For example, establish a process for administrators to verify and approve their request, such as an emergency AWS cross-account role for access, or a specific process for administrators to follow to validate and approve an emergency request.;https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_permissions_emergency_process.html#implementation-guidance.;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::<SANDBOX_ACCOUNT_ID>:root;account_maintain_current_contact_details;False;<SANDBOX_ACCOUNT_ID>;AWS-Well-Architected-Framework-Security-Pillar;AWS Well-Architected Framework Security Pillar
aws;Best Practices for AWS Well-Architected Framework Security Pillar. The focus of this framework is the security pillar of the AWS Well-Architected Framework. It provides guidance to help you apply best practices, current recommendations in the design, delivery, and maintenance of secure AWS workloads.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;SEC10-BP01;Identify internal and external personnel, resources, and legal obligations that would help your organization respond to an incident.When you define your approach to incident response in the cloud, in unison with other teams (such as your legal counsel, leadership, business stakeholders, AWS Support Services, and others), you must identify key personnel, stakeholders, and relevant contacts. To reduce dependency and decrease response time, make sure that your team, specialist security teams, and responders are educated about the services that you use and have opportunities to practice hands-on.We encourage you to identify external AWS security partners that can provide you with outside expertise and a different perspective to augment your response capabilities. Your trusted security partners can help you identify potential risks or threats that you might not be familiar with.;SEC10-BP01 Identify key personnel and external resources;incident-response;sec_incident_response_identify_personnel;Incident response;Prepare;High;Automated;Identify internal and external personnel, resources, and legal obligations that would help your organization respond to an incident.When you define your approach to incident response in the cloud, in unison with other teams (such as your legal counsel, leadership, business stakeholders, AWS Support Services, and others), you must identify key personnel, stakeholders, and relevant contacts. To reduce dependency and decrease response time, make sure that your team, specialist security teams, and responders are educated about the services that you use and have opportunities to practice hands-on.We encourage you to identify external AWS security partners that can provide you with outside expertise and a different perspective to augment your response capabilities. Your trusted security partners can help you identify potential risks or threats that you might not be familiar with.;https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_incident_response_identify_personnel.html#implementation-guidance.;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::<SANDBOX_ACCOUNT_ID>:root;account_maintain_current_contact_details;False;<SANDBOX_ACCOUNT_ID>;AWS-Well-Architected-Framework-Security-Pillar;AWS Well-Architected Framework Security Pillar
aws;Best Practices for AWS Well-Architected Framework Security Pillar. The focus of this framework is the security pillar of the AWS Well-Architected Framework. It provides guidance to help you apply best practices, current recommendations in the design, delivery, and maintenance of secure AWS workloads.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;SEC03-BP03;A process that allows emergency access to your workload in the unlikely event of an automated process or pipeline issue. This will help you rely on least privilege access, but ensure users can obtain the right level of access when they require it. For example, establish a process for administrators to verify and approve their request, such as an emergency AWS cross-account role for access, or a specific process for administrators to follow to validate and approve an emergency request.;SEC03-BP03 Establish emergency access process;permissions;sec_permissions_emergency_process;Identity and access management;Permissions management;High;Automated;A process that allows emergency access to your workload in the unlikely event of an automated process or pipeline issue. This will help you rely on least privilege access, but ensure users can obtain the right level of access when they require it. For example, establish a process for administrators to verify and approve their request, such as an emergency AWS cross-account role for access, or a specific process for administrators to follow to validate and approve an emergency request.;https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_permissions_emergency_process.html#implementation-guidance.;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::<SANDBOX_ACCOUNT_ID>:root;account_security_contact_information_is_registered;False;<SANDBOX_ACCOUNT_ID>;AWS-Well-Architected-Framework-Security-Pillar;AWS Well-Architected Framework Security Pillar
aws;Best Practices for AWS Well-Architected Framework Security Pillar. The focus of this framework is the security pillar of the AWS Well-Architected Framework. It provides guidance to help you apply best practices, current recommendations in the design, delivery, and maintenance of secure AWS workloads.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;SEC10-BP01;Identify internal and external personnel, resources, and legal obligations that would help your organization respond to an incident.When you define your approach to incident response in the cloud, in unison with other teams (such as your legal counsel, leadership, business stakeholders, AWS Support Services, and others), you must identify key personnel, stakeholders, and relevant contacts. To reduce dependency and decrease response time, make sure that your team, specialist security teams, and responders are educated about the services that you use and have opportunities to practice hands-on.We encourage you to identify external AWS security partners that can provide you with outside expertise and a different perspective to augment your response capabilities. Your trusted security partners can help you identify potential risks or threats that you might not be familiar with.;SEC10-BP01 Identify key personnel and external resources;incident-response;sec_incident_response_identify_personnel;Incident response;Prepare;High;Automated;Identify internal and external personnel, resources, and legal obligations that would help your organization respond to an incident.When you define your approach to incident response in the cloud, in unison with other teams (such as your legal counsel, leadership, business stakeholders, AWS Support Services, and others), you must identify key personnel, stakeholders, and relevant contacts. To reduce dependency and decrease response time, make sure that your team, specialist security teams, and responders are educated about the services that you use and have opportunities to practice hands-on.We encourage you to identify external AWS security partners that can provide you with outside expertise and a different perspective to augment your response capabilities. Your trusted security partners can help you identify potential risks or threats that you might not be familiar with.;https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_incident_response_identify_personnel.html#implementation-guidance.;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::<SANDBOX_ACCOUNT_ID>:root;account_security_contact_information_is_registered;False;<SANDBOX_ACCOUNT_ID>;AWS-Well-Architected-Framework-Security-Pillar;AWS Well-Architected Framework Security Pillar
aws;Best Practices for AWS Well-Architected Framework Security Pillar. The focus of this framework is the security pillar of the AWS Well-Architected Framework. It provides guidance to help you apply best practices, current recommendations in the design, delivery, and maintenance of secure AWS workloads.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;SEC03-BP03;A process that allows emergency access to your workload in the unlikely event of an automated process or pipeline issue. This will help you rely on least privilege access, but ensure users can obtain the right level of access when they require it. For example, establish a process for administrators to verify and approve their request, such as an emergency AWS cross-account role for access, or a specific process for administrators to follow to validate and approve an emergency request.;SEC03-BP03 Establish emergency access process;permissions;sec_permissions_emergency_process;Identity and access management;Permissions management;High;Automated;A process that allows emergency access to your workload in the unlikely event of an automated process or pipeline issue. This will help you rely on least privilege access, but ensure users can obtain the right level of access when they require it. For example, establish a process for administrators to verify and approve their request, such as an emergency AWS cross-account role for access, or a specific process for administrators to follow to validate and approve an emergency request.;https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_permissions_emergency_process.html#implementation-guidance.;MANUAL;Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.;arn:aws:iam::<SANDBOX_ACCOUNT_ID>:root;account_security_questions_are_registered_in_the_aws_account;False;<SANDBOX_ACCOUNT_ID>;AWS-Well-Architected-Framework-Security-Pillar;AWS Well-Architected Framework Security Pillar
aws;Best Practices for AWS Well-Architected Framework Security Pillar. The focus of this framework is the security pillar of the AWS Well-Architected Framework. It provides guidance to help you apply best practices, current recommendations in the design, delivery, and maintenance of secure AWS workloads.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;SEC10-BP01;Identify internal and external personnel, resources, and legal obligations that would help your organization respond to an incident.When you define your approach to incident response in the cloud, in unison with other teams (such as your legal counsel, leadership, business stakeholders, AWS Support Services, and others), you must identify key personnel, stakeholders, and relevant contacts. To reduce dependency and decrease response time, make sure that your team, specialist security teams, and responders are educated about the services that you use and have opportunities to practice hands-on.We encourage you to identify external AWS security partners that can provide you with outside expertise and a different perspective to augment your response capabilities. Your trusted security partners can help you identify potential risks or threats that you might not be familiar with.;SEC10-BP01 Identify key personnel and external resources;incident-response;sec_incident_response_identify_personnel;Incident response;Prepare;High;Automated;Identify internal and external personnel, resources, and legal obligations that would help your organization respond to an incident.When you define your approach to incident response in the cloud, in unison with other teams (such as your legal counsel, leadership, business stakeholders, AWS Support Services, and others), you must identify key personnel, stakeholders, and relevant contacts. To reduce dependency and decrease response time, make sure that your team, specialist security teams, and responders are educated about the services that you use and have opportunities to practice hands-on.We encourage you to identify external AWS security partners that can provide you with outside expertise and a different perspective to augment your response capabilities. Your trusted security partners can help you identify potential risks or threats that you might not be familiar with.;https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_incident_response_identify_personnel.html#implementation-guidance.;MANUAL;Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.;arn:aws:iam::<SANDBOX_ACCOUNT_ID>:root;account_security_questions_are_registered_in_the_aws_account;False;<SANDBOX_ACCOUNT_ID>;AWS-Well-Architected-Framework-Security-Pillar;AWS Well-Architected Framework Security Pillar
aws;Best Practices for AWS Well-Architected Framework Security Pillar. The focus of this framework is the security pillar of the AWS Well-Architected Framework. It provides guidance to help you apply best practices, current recommendations in the design, delivery, and maintenance of secure AWS workloads.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;SEC04-BP01;Retain security event logs from services and applications. This is a fundamental principle of security for audit, investigations, and operational use cases, and a common security requirement driven by governance, risk, and compliance (GRC) standards, policies, and procedures.;SEC04-BP01 Configure service and application logging;detect-investigate-events;sec_detect_investigate_events_app_service_logging;Detection;Detection;High;Automated;Retain security event logs from services and applications. This is a fundamental principle of security for audit, investigations, and operational use cases, and a common security requirement driven by governance, risk, and compliance (GRC) standards, policies, and procedures.;https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_detect_investigate_events_app_service_logging.html#implementation-guidance.;FAIL;Lambda function range-responder is not recorded by CloudTrail.;arn:aws:lambda:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:function:range-responder;awslambda_function_invoke_api_operations_cloudtrail_logging_enabled;False;range-responder;AWS-Well-Architected-Framework-Security-Pillar;AWS Well-Architected Framework Security Pillar
aws;Best Practices for AWS Well-Architected Framework Security Pillar. The focus of this framework is the security pillar of the AWS Well-Architected Framework. It provides guidance to help you apply best practices, current recommendations in the design, delivery, and maintenance of secure AWS workloads.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;SEC02-BP03;A workload requires an automated capability to prove its identity to databases, resources, and third-party services. This is accomplished using secret access credentials, such as API access keys, passwords, and OAuth tokens. Using a purpose-built service to store, manage, and rotate these credentials helps reduce the likelihood that those credentials become compromised.;SEC02-BP03 Store and use secrets securely;identities;sec_identities_secrets;Identity and access management;Identity management;High;Automated;A workload requires an automated capability to prove its identity to databases, resources, and third-party services. This is accomplished using secret access credentials, such as API access keys, passwords, and OAuth tokens. Using a purpose-built service to store, manage, and rotate these credentials helps reduce the likelihood that those credentials become compromised.;https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_identities_secrets.html#implementation-guidance.;PASS;No secrets found in Lambda function range-responder code.;arn:aws:lambda:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:function:range-responder;awslambda_function_no_secrets_in_code;False;range-responder;AWS-Well-Architected-Framework-Security-Pillar;AWS Well-Architected Framework Security Pillar
aws;Best Practices for AWS Well-Architected Framework Security Pillar. The focus of this framework is the security pillar of the AWS Well-Architected Framework. It provides guidance to help you apply best practices, current recommendations in the design, delivery, and maintenance of secure AWS workloads.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;SEC02-BP03;A workload requires an automated capability to prove its identity to databases, resources, and third-party services. This is accomplished using secret access credentials, such as API access keys, passwords, and OAuth tokens. Using a purpose-built service to store, manage, and rotate these credentials helps reduce the likelihood that those credentials become compromised.;SEC02-BP03 Store and use secrets securely;identities;sec_identities_secrets;Identity and access management;Identity management;High;Automated;A workload requires an automated capability to prove its identity to databases, resources, and third-party services. This is accomplished using secret access credentials, such as API access keys, passwords, and OAuth tokens. Using a purpose-built service to store, manage, and rotate these credentials helps reduce the likelihood that those credentials become compromised.;https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_identities_secrets.html#implementation-guidance.;PASS;No secrets found in Lambda function range-responder variables.;arn:aws:lambda:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:function:range-responder;awslambda_function_no_secrets_in_variables;False;range-responder;AWS-Well-Architected-Framework-Security-Pillar;AWS Well-Architected Framework Security Pillar
aws;Best Practices for AWS Well-Architected Framework Security Pillar. The focus of this framework is the security pillar of the AWS Well-Architected Framework. It provides guidance to help you apply best practices, current recommendations in the design, delivery, and maintenance of secure AWS workloads.;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-29 00:18:02.370487;SEC03-BP07;Continuously monitor findings that highlight public and cross-account access. Reduce public access and cross-account access to only resources that require this type of access.;SEC03-BP07 Analyze public and cross-account access;permissions;sec_permissions_analyze_cross_account;Identity and access management;Permissions management;Low;Automated;Continuously monitor findings that highlight public and cross-account access. Reduce public access and cross-account access to only resources that require this type of access.;https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_permissions_analyze_cross_account.html#implementation-guidance.;PASS;Lambda function range-responder has a resource-based policy without public access.;arn:aws:lambda:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:function:range-responder;awslambda_function_not_publicly_accessible;False;range-responder;AWS-Well-Architected-Framework-Security-Pillar;AWS Well-Architected Framework Security Pillar
