PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_TITLE;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_ATTRIBUTEDESCRIPTION;REQUIREMENTS_ATTRIBUTES_ADDITIONALINFORMATION;REQUIREMENTS_ATTRIBUTES_LEVELOFRISK;REQUIREMENTS_ATTRIBUTES_WEIGHT;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED;FRAMEWORK;NAME
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;1.2.6;Ensure that IAM Access Analyzer is enabled for all regions;Access Analyzer enabled;1. IAM;1.2 Authorization;Enable IAM Access Analyzer for all AWS regions to monitor IAM policies and identify resources with unintended external access. IAM Access Analyzer, introduced at AWS re:Invent 2019, scans resource-based policies and provides visibility into which resources—such as KMS keys, IAM roles, S3 buckets, Lambda functions, and SQS queues—are accessible by external accounts or federated users. This allows administrators to enforce least privilege access and mitigate unauthorized access risks. IAM Access Analyzer operates within the same AWS region as the resources being analyzed.;IAM Access Analyzer enhances security visibility by detecting AWS resources shared with external entities, helping organizations identify potential security risks and ensure compliance with least privilege principles. It continuously evaluates resource-based policies using logic-based analysis, allowing teams to promptly remediate misconfigurations that could lead to unauthorized access or data exposure.;2;8;FAIL;IAM Access Analyzer in account <SANDBOX_ACCOUNT_ID> is not enabled.;arn:aws:accessanalyzer:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;4.2.3;Ensure CloudTrail logs are encrypted at rest using KMS CMKs;CloudTrail logs are encrypted at rest using KMS CMKs;4. Encryption;4.2 At-Rest;AWS CloudTrail records API activity across an AWS account, and its logs contain sensitive security and operational data. AWS Key Management Service (KMS) provides encryption key management using customer-managed keys (CMKs) and Hardware Security Modules (HSMs) to ensure secure key storage and usage. CloudTrail logs can be encrypted using Server-Side Encryption (SSE) with KMS (SSE-KMS) to add an extra layer of protection and access control;Using SSE-KMS encryption for CloudTrail logs enhances security by adding an extra layer of access control. This ensures that only authorized users with both S3 read permissions and KMS decryption rights can access log data, protecting sensitive security information from unauthorized access or tampering. It also helps maintain compliance with security and regulatory standards by enforcing strict encryption controls.;3;10;FAIL;Multiregion trail lz-org-trail has encryption disabled.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;lz-org-trail;cloudtrail_kms_encryption_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;4.2.3;Ensure CloudTrail logs are encrypted at rest using KMS CMKs;CloudTrail logs are encrypted at rest using KMS CMKs;4. Encryption;4.2 At-Rest;AWS CloudTrail records API activity across an AWS account, and its logs contain sensitive security and operational data. AWS Key Management Service (KMS) provides encryption key management using customer-managed keys (CMKs) and Hardware Security Modules (HSMs) to ensure secure key storage and usage. CloudTrail logs can be encrypted using Server-Side Encryption (SSE) with KMS (SSE-KMS) to add an extra layer of protection and access control;Using SSE-KMS encryption for CloudTrail logs enhances security by adding an extra layer of access control. This ensures that only authorized users with both S3 read permissions and KMS decryption rights can access log data, protecting sensitive security information from unauthorized access or tampering. It also helps maintain compliance with security and regulatory standards by enforcing strict encryption controls.;3;10;FAIL;Multiregion trail range-trail has encryption disabled.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;range-trail;cloudtrail_kms_encryption_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;3.1.2;Ensure CloudTrail log file validation is enabled;CloudTrail file validation enabled;3. Logging and Monitoring;3.1 Logging;AWS CloudTrail log file validation generates digitally signed digest files containing cryptographic hashes of each log file stored in Amazon S3. These digest files allow users to verify whether logs have been altered, deleted, or remain unchanged after being delivered by CloudTrail. Enabling log file validation ensures data integrity and auditability for security and compliance purposes.;Enabling log file validation enhances security by ensuring the integrity of CloudTrail logs, preventing tampering or unauthorized modifications. This helps: Detect log file alterations, ensuring logs remain trustworthy for audits and investigations. Improve compliance with frameworks that require log integrity, such as PCI DSS, SOC 2, and ISO 27001. Strengthen forensic capabilities, allowing security teams to verify log authenticity in case of a security incident.;2;8;PASS;Multiregion trail lz-org-trail has log file validation enabled.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;lz-org-trail;cloudtrail_log_file_validation_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;3.1.2;Ensure CloudTrail log file validation is enabled;CloudTrail file validation enabled;3. Logging and Monitoring;3.1 Logging;AWS CloudTrail log file validation generates digitally signed digest files containing cryptographic hashes of each log file stored in Amazon S3. These digest files allow users to verify whether logs have been altered, deleted, or remain unchanged after being delivered by CloudTrail. Enabling log file validation ensures data integrity and auditability for security and compliance purposes.;Enabling log file validation enhances security by ensuring the integrity of CloudTrail logs, preventing tampering or unauthorized modifications. This helps: Detect log file alterations, ensuring logs remain trustworthy for audits and investigations. Improve compliance with frameworks that require log integrity, such as PCI DSS, SOC 2, and ISO 27001. Strengthen forensic capabilities, allowing security teams to verify log authenticity in case of a security incident.;2;8;PASS;Multiregion trail range-trail has log file validation enabled.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;range-trail;cloudtrail_log_file_validation_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;3.1.3;Ensure that server access logging is enabled on the CloudTrail S3 bucket;Server access logging is enabled on the CloudTrail S3 bucket;3. Logging and Monitoring;3.1 Logging;Server access logging provides detailed records of requests made to an S3 bucket, including request type, accessed resources, timestamp, and requester details. Enabling server access logging on the CloudTrail S3 bucket ensures that all interactions with CloudTrail logs are recorded, improving security visibility and auditability;Enabling server access logging on CloudTrail S3 buckets enhances security monitoring, incident response, and compliance by: Capturing all events affecting CloudTrail logs, helping detect unauthorized access or modifications. Providing an audit trail for forensic investigations and compliance reporting. Enhancing security workflows by storing access logs in a separate, dedicated logging bucket for improved log integrity and analysis.;2;8;MANUAL;Trail lz-org-trail is delivering logs to bucket lz-org-cloudtrail-logs-<LOG_ARCHIVE_ACCOUNT_ID> which is a cross-account bucket or out of Prowler's audit scope, please check it manually.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;lz-org-trail;cloudtrail_logs_s3_bucket_access_logging_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;3.1.3;Ensure that server access logging is enabled on the CloudTrail S3 bucket;Server access logging is enabled on the CloudTrail S3 bucket;3. Logging and Monitoring;3.1 Logging;Server access logging provides detailed records of requests made to an S3 bucket, including request type, accessed resources, timestamp, and requester details. Enabling server access logging on the CloudTrail S3 bucket ensures that all interactions with CloudTrail logs are recorded, improving security visibility and auditability;Enabling server access logging on CloudTrail S3 buckets enhances security monitoring, incident response, and compliance by: Capturing all events affecting CloudTrail logs, helping detect unauthorized access or modifications. Providing an audit trail for forensic investigations and compliance reporting. Enhancing security workflows by storing access logs in a separate, dedicated logging bucket for improved log integrity and analysis.;2;8;FAIL;Multiregion Trail range-trail S3 bucket access logging is not enabled for bucket range-cloudtrail-<SANDBOX_ACCOUNT_ID>.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;range-trail;cloudtrail_logs_s3_bucket_access_logging_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;2.2.5;Ensure the S3 bucket CloudTrail logs is not publicly accessible;S3 bucket CloudTrail logs is not publicly accessible;2. Attack Surface;2.2 Storage;AWS CloudTrail logs record account activity, including API calls, user actions, and resource modifications, making them critical for security monitoring and compliance auditing. These logs are typically stored in an Amazon S3 bucket for long-term retention and analysis. To protect sensitive security data, the S3 bucket storing CloudTrail logs should never be publicly accessible.;If the S3 bucket containing CloudTrail logs is publicly accessible, unauthorized users could access sensitive security information, including API calls, IAM activity, and infrastructure changes. Exposing CloudTrail logs can help attackers reconstruct system activity, identify vulnerabilities, and plan targeted attacks. To prevent data leaks and unauthorized access, CloudTrail log buckets should be restricted using IAM policies, bucket policies, and S3 Block Public Access settings.;5;1000;MANUAL;Trail lz-org-trail bucket (lz-org-cloudtrail-logs-<LOG_ARCHIVE_ACCOUNT_ID>) is a cross-account bucket or out of Prowler's audit scope, please check it manually.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;lz-org-trail;cloudtrail_logs_s3_bucket_is_not_publicly_accessible;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;2.2.5;Ensure the S3 bucket CloudTrail logs is not publicly accessible;S3 bucket CloudTrail logs is not publicly accessible;2. Attack Surface;2.2 Storage;AWS CloudTrail logs record account activity, including API calls, user actions, and resource modifications, making them critical for security monitoring and compliance auditing. These logs are typically stored in an Amazon S3 bucket for long-term retention and analysis. To protect sensitive security data, the S3 bucket storing CloudTrail logs should never be publicly accessible.;If the S3 bucket containing CloudTrail logs is publicly accessible, unauthorized users could access sensitive security information, including API calls, IAM activity, and infrastructure changes. Exposing CloudTrail logs can help attackers reconstruct system activity, identify vulnerabilities, and plan targeted attacks. To prevent data leaks and unauthorized access, CloudTrail log buckets should be restricted using IAM policies, bucket policies, and S3 Block Public Access settings.;5;1000;PASS;S3 Bucket range-cloudtrail-<SANDBOX_ACCOUNT_ID> from multiregion trail range-trail is not publicly accessible.;arn:aws:cloudtrail:ap-southeast-7:<SANDBOX_ACCOUNT_ID>:trail/range-trail;range-trail;cloudtrail_logs_s3_bucket_is_not_publicly_accessible;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
aws;Prowler ThreatScore Compliance Framework for AWS ensures that the AWS account is compliant taking into account four main pillars: Identity and Access Management, Attack Surface, Forensic Readiness and Encryption;<SANDBOX_ACCOUNT_ID>;ap-southeast-7;2026-08-19 02:30:11.271115;3.1.1;Ensure CloudTrail is enabled in all regions;CloudTrail enabled;3. Logging and Monitoring;3.1 Logging;AWS CloudTrail is a service that records and monitors AWS API calls across an account, providing detailed logs of who performed what action, when, and from where. CloudTrail captures API activity from the AWS Management Console, SDKs, CLI, and AWS services such as CloudFormation. The logs include key details such as the identity of the API caller, timestamp, source IP address, request parameters, and response elements.;CloudTrail enhances security, auditing, and compliance by providing a complete history of API activities in an AWS account. Enabling a multi-region trail ensures: Detection of unauthorized activity in rarely used AWS regions. Global Service Logging is automatically enabled, capturing API calls from global services such as IAM and AWS Organizations. Tracking of all management events, ensuring that both read and write operations across AWS resources are recorded for improved security monitoring and compliance.;4;100;PASS;Trail lz-org-trail is multiregion and it is logging.;arn:aws:cloudtrail:ap-southeast-7:<MANAGEMENT_ACCOUNT_ID>:trail/lz-org-trail;lz-org-trail;cloudtrail_multi_region_enabled;False;ProwlerThreatScore;Prowler ThreatScore Compliance Framework for AWS
